iter	Passed	Remaining
0	1	139
1	2	128
2	3	123
3	5	120
4	6	118
5	7	114
6	8	113
7	9	112
8	11	111
9	13	119
10	14	119
11	15	116
12	16	113
13	18	111
14	19	110
15	20	109
16	21	107
17	23	105
18	24	104
19	25	103
20	28	105
21	29	105
22	31	104
23	32	102
24	33	100
25	34	99
26	36	97
27	37	95
28	39	96
29	40	94
30	41	93
31	43	91
32	44	90
33	45	88
34	46	86
35	48	85
36	49	84
37	50	82
38	51	81
39	54	81
40	55	79
41	56	78
42	57	76
43	59	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	66
51	70	64
52	71	63
53	72	62
54	74	60
55	75	59
56	76	57
57	77	56
58	78	54
59	79	53
60	80	51
61	83	50
62	84	49
63	85	48
64	86	46
65	87	45
66	88	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	109	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	121	13
90	122	12
91	123	10
92	124	9
93	127	8
94	128	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
