iter	Passed	Remaining
0	2	2260
1	4	2222
2	6	2207
3	9	2361
4	11	2244
5	14	2378
6	15	2252
7	17	2176
8	19	2104
9	22	2258
10	25	2330
11	27	2299
12	29	2275
13	31	2225
14	33	2183
15	34	2135
16	38	2249
17	40	2225
18	42	2186
19	44	2200
20	46	2162
21	47	2124
22	49	2082
23	51	2101
24	53	2099
25	55	2075
26	56	2053
27	58	2031
28	60	2013
29	61	1996
30	63	1973
31	66	2012
32	68	2015
33	74	2105
34	78	2154
35	82	2203
36	85	2219
37	87	2206
38	88	2184
39	89	2159
40	91	2138
41	93	2142
42	98	2196
43	100	2175
44	102	2169
45	104	2157
46	105	2143
47	106	2122
48	108	2103
49	112	2128
50	123	2295
51	132	2422
52	135	2416
53	136	2396
54	139	2388
55	143	2412
56	145	2402
57	147	2391
58	149	2389
59	152	2382
60	157	2427
61	161	2448
62	164	2442
63	168	2457
64	173	2494
65	175	2488
66	177	2477
67	180	2472
68	182	2465
69	187	2494
70	189	2483
71	191	2470
72	193	2459
73	195	2446
74	197	2433
75	202	2456
76	204	2446
77	208	2464
78	211	2463
79	213	2455
80	217	2467
81	219	2459
82	220	2438
83	222	2430
84	224	2420
85	228	2425
86	232	2443
87	234	2431
88	236	2420
89	239	2416
90	241	2409
91	243	2399
92	245	2389
93	251	2420
94	253	2416
95	256	2412
96	258	2404
97	261	2407
98	264	2405
99	266	2401
100	268	2394
101	271	2386
102	273	2378
103	275	2372
104	279	2384
105	282	2381
106	284	2375
107	286	2366
108	294	2405
109	296	2398
110	298	2392
111	300	2386
112	303	2380
113	305	2374
114	310	2389
115	312	2383
116	314	2372
117	316	2367
118	319	2366
119	321	2360
120	327	2381
121	329	2370
122	333	2377
123	336	2374
124	341	2390
125	344	2386
126	345	2376
127	348	2371
128	353	2384
129	358	2396
130	360	2388
131	362	2382
132	365	2382
133	368	2382
134	372	2388
135	374	2381
136	380	2395
137	384	2400
138	393	2437
139	400	2463
140	402	2454
141	406	2453
142	414	2486
143	422	2508
144	424	2501
145	430	2517
146	433	2517
147	435	2507
148	437	2497
149	439	2488
150	440	2478
151	445	2487
152	449	2486
153	451	2480
154	453	2473
155	456	2471
156	461	2478
157	465	2482
158	467	2474
159	469	2465
160	471	2455
161	477	2470
162	479	2462
163	481	2453
164	482	2443
165	484	2435
166	486	2425
167	489	2425
168	494	2430
169	496	2422
170	497	2413
171	499	2404
172	501	2395
173	506	2402
174	508	2396
175	510	2390
176	512	2383
177	515	2382
178	519	2383
179	521	2377
180	524	2373
181	526	2367
182	533	2383
183	536	2378
184	538	2371
185	540	2365
186	542	2360
187	546	2360
188	549	2359
189	552	2353
190	554	2348
191	556	2340
192	557	2332
193	561	2333
194	563	2327
195	565	2319
196	566	2310
197	568	2301
198	569	2292
199	571	2284
200	572	2275
201	574	2269
202	577	2266
203	578	2259
204	580	2251
205	581	2242
206	583	2234
207	585	2227
208	586	2220
209	588	2212
210	590	2209
211	592	2203
212	594	2195
213	595	2187
214	597	2180
215	598	2172
216	600	2165
217	601	2158
218	602	2150
219	606	2149
220	607	2142
221	609	2135
222	610	2128
223	612	2121
224	613	2113
225	615	2106
